hip,ra,dec,mag,spect,ci,con,var_min,var_max
,0,0,-26.7,G2V,0.656,,,
1,6E-05,1.089009,9.1,F5,0.482,Psc,,
2,0.000283,-19.49884,9.27,K3V,0.999,Cet,,
3,0.000335,38.859279,6.61,B9,-0.019,And,,
4,0.000569,-51.893546,8.06,F0V,0.37,Phe,,
5,0.000665,-40.591202,8.55,G8III,0.902,Phe,,
6,0.001246,3.946458,12.31,M0V:,1.336,,12.462,12.162
7,0.00147,20.036114,9.64,G0,0.74,Peg,,
8,0.001823,25.886461,9.05,M6e-M8.5e Tc,1.102,Peg,11.748,7.648
9,0.002355,36.585958,8.59,G5,1.067,And,,
10,0.002424,-50.866976,8.59,F6V,0.489,Phe,,
11,0.002488,46.939997,7.34,A2,0.081,And,,
12,0.002727,-35.960225,8.43,K4III,1.484,Scl,,
13,0.00278,-22.594705,8.8,K0III,1.128,Cet,,
14,0.003228,-0.36045,7.25,K0,1.2,Psc,,
15,0.003356,50.791187,8.6,K2,1.166,Cas,,
17,0.003401,-40.192392,8.15,F3V,0.425,Phe,,
16,0.003469,-54.914363,11.71,,0.421,Phe,11.823,11.543
18,0.003522,-4.05368,11.03,K5,1.567,Psc,11.088,10.948
19,0.003554,38.30405,6.53,G5,0.955,And,,
20,0.004203,23.529228,8.51,G0,0.516,Peg,,
21,0.004426,8.007234,7.55,K2,1.438,Psc,,
22,0.004674,-49.352266,8.69,G8/K0III/IV,0.962,Phe,,
23,0.004971,13.312234,7.57,F2V,0.456,Peg,,
24,0.005091,-23.452695,9.05,G0V,0.528,Cet,,
25,0.0053,-44.290561,6.28,G3IV,0.763,Phe,,
26,0.005606,-13.393378,9.13,F7V,0.535,Cet,,
27,0.00572,-41.297813,9.32,G5V,0.671,Phe,,
28,0.005815,-43.361821,8.83,F3/F5V,0.468,Phe,,
29,0.006146,-49.107945,9.14,G8III,1.041,Phe,,
30,0.006408,42.141474,8.26,A0,0.142,And,,
31,0.006539,2.675477,7.63,K2,1.453,Psc,,
32,0.006572,51.939487,9.09,B8,0.04,Cas,,
33,0.006611,-10.462385,8.1,F2,0.466,Cet,,
34,0.006638,26.918108,6.43,F7.5IV-V,0.514,Peg,,
35,0.006864,-14.490484,9.07,G8/K0III/IV,0.916,Cet,,
36,0.006893,12.267128,7.68,K0,1.15,Peg,,
37,0.007022,-47.179567,10.44,F0V,0.391,Phe,10.516,10.346
38,0.007429,-79.061983,8.65,G6V,0.778,Oct,,
39,0.007485,-16.697009,7.46,F3V,0.475,Cet,,
41,0.007771,54.302236,8.7,A0,0.026,Cas,,
40,0.008131,67.216783,10.61,B...,0.57,Cep,10.824,10.514
42,0.008362,25.844765,8.2,F2,0.387,Peg,,
43,0.008593,59.559679,6.18,G9III-IV,1.032,Cas,,
44,0.00885,-3.306323,7.91,K2,1.104,Psc,,
45,0.008941,-72.202717,9.59,G6/G8V:,,Tuc,,
46,0.008972,-25.622285,8.57,K1III,1.035,Scl,,
47,0.009006,-56.835602,10.78,K3V,1.15,Phe,10.849,10.669
48,0.009015,-40.690474,7.31,K0/K1III,1.164,Phe,,
49,0.009304,16.669049,9.53,F5,0.45,Peg,,
50,0.009533,-53.097713,6.49,G1IV,0.616,Phe,,
51,0.009561,1.066213,8.94,K0,0.906,Psc,,
52,0.009781,-77.020116,8.56,A4V,0.196,Oct,,
53,0.009828,-29.263414,10.96,,,Scl,11.03,10.89
54,0.01017,17.968908,10.57,M:,1.03,Peg,,
55,0.010549,-66.683173,7.4,G2IV/V,0.551,Tuc,,
56,0.010862,0.222931,8.12,K0,1.329,Psc,,
57,0.011212,-69.675965,8.27,K2V,0.863,Tuc,,
